documento,nombre,grupo,profesor
154907,Asunción Lorenzo Jáquez Cardenas,7C,Profe Ana
979234,Juan Terán Valenzuela,6C,Profe Laura
448334,Amelia Cristobal Cervántez Miranda,7C,Profe Carlos
688211,Felipe Dalia Abreu Pulido,7C,Profe Juan
911165,Rubén Ocasio Barrios,6B,Profe Juan
106915,Marisol Benjamín Armas Caballero,6C,Profe Laura
799545,Carmen Alejandra Lovato,7B,Profe Ana
551556,Lic. Gabino Rodarte,6C,Profe Ana
978536,Hilda Montalvo Solorio,6C,Profe Carlos
940430,Emiliano Soto,7C,Profe Carlos
692250,Adán Leonel Serna Puente,7C,Profe Juan
818103,Ing. Mercedes Soliz,6A,Profe Carlos
800941,José Luis Segovia,7B,Profe Carlos
133388,Armando Micaela Iglesias,6B,Profe Ana
278390,Iván Perla Ornelas Benavides,6A,Profe Carlos
858239,Julia Vega,6C,Profe Carlos
916566,Adriana Elena Villa Bueno,6C,Profe Ana
971999,Adán Jesús Girón Palomino,6A,Profe Juan
657839,Sr(a). Timoteo Loera,6A,Profe Carlos
618813,Pamela Maximiliano Díaz,7B,Profe Carlos
261230,Lic. José María Riojas,6B,Profe Ana
146273,Cecilia Reyes Espinoza,6C,Profe Laura
122029,Jesús Georgina Puente Peres,7A,Profe Ana
100372,Serafín Barajas Segovia,6B,Profe Juan
472308,Armando Prieto Aguilera,7A,Profe Juan
934388,Lic. Antonia Treviño,7C,Profe Laura
827927,Alicia Medrano,6C,Profe Laura
375293,Alonso Valenzuela,6C,Profe Ana
451095,Jaqueline Alva,6C,Profe Ana
770174,Lourdes Andrea Colón,7C,Profe Ana
490185,Arcelia Soledad Báez,6C,Profe Carlos
894886,Lic. Pablo Malave,7B,Profe Ana
253238,Julio José Carlos Castro Téllez,6B,Profe Laura
454129,Sr(a). Sonia de la Crúz,7A,Profe Carlos
941248,Lic. Magdalena Bañuelos,7B,Profe Laura
877372,María Elena Yolanda Alonso,7C,Profe Carlos
466518,Yolanda Raya,6B,Profe Laura
418563,Alicia Covarrubias,6B,Profe Juan
646927,Noemí Noelia Valadez Chapa,6A,Profe Juan
460260,Sr(a). Patricio Negrete,6A,Profe Ana
335829,Mtro. Aurelio Jurado,7A,Profe Laura
630895,Emilia Inés Jaime,7B,Profe Juan
517511,Mónica Blanco Estrada,6B,Profe Carlos
629668,Adriana Eloisa Jasso,6C,Profe Ana
692051,Arturo Ruby Mateo,6C,Profe Carlos
187808,Perla Pablo Cepeda Téllez,7B,Profe Juan
242025,Miguel Otero,6C,Profe Laura
914695,Francisco Vélez Ruelas,7C,Profe Laura
457062,Esparta Sánchez,6A,Profe Laura
232231,Sr(a). Ruby Saldaña,6B,Profe Laura
460075,Sr(a). Amelia Muro,7B,Profe Laura
583143,Yolanda Lucía Mata Muñoz,6B,Profe Ana
327115,Jacobo Espinoza,6A,Profe Juan
960333,Juana Anel Pedroza,7B,Profe Ana
493567,Mtro. Delia Valdivia,6C,Profe Laura
494688,Ángela Gustavo Casillas Jaimes,6A,Profe Juan
627255,Mtro. Anabel Olivares,7A,Profe Ana
154110,Lic. Héctor Cardenas,6A,Profe Carlos
588162,Mtro. Federico Ramírez,7C,Profe Juan
378831,Ramón Vázquez,6A,Profe Ana
460766,María Eugenia Mónica Velasco,6B,Profe Ana
388380,Amanda Dulce Castañeda Almonte,7B,Profe Carlos
548916,César Romero,7C,Profe Ana
661098,Mariano Toro Cisneros,6A,Profe Laura
441669,Estela Rufino Aparicio Rivas,6A,Profe Ana
628604,Mtro. Roberto Alcaraz,7B,Profe Carlos
436197,Esperanza Barajas,6C,Profe Laura
365669,Darío Lorena Muñiz Pizarro,6A,Profe Ana
145514,Sr(a). Miriam de Anda,6C,Profe Laura
307870,Gabriel Sosa de Jesús,7A,Profe Laura
900961,Dr. Hernán Sanabria,6C,Profe Juan
590095,Guillermina Óliver Caballero,7B,Profe Juan
208242,Sara Trejo,7A,Profe Carlos
684479,Eloisa Nicolás Barreto Orosco,7C,Profe Carlos
526154,Blanca Balderas,6B,Profe Carlos
697696,Úrsula Pulido,6C,Profe Ana
642419,Cristian Miguel Cervantes Esquivel,6B,Profe Carlos
321910,Alfonso Felipe Frías,7C,Profe Carlos
177007,Aldonza Alba,7C,Profe Laura
532247,Pascual Alta  Gracia Arguello Gurule,6C,Profe Carlos
866267,Guillermo Escamilla,7A,Profe Laura
418960,Guillermina Meléndez Galindo,6C,Profe Juan
640535,Jos Corral Robledo,7B,Profe Juan
335860,Estela Segovia,7A,Profe Carlos
794599,Julio César Valencia,7C,Profe Laura
298136,Araceli Salgado,7C,Profe Laura
144663,Clara Martín Carbajal Castro,7A,Profe Juan
227930,Jesús Urías,6C,Profe Juan
744464,María Soliz Morales,7C,Profe Laura
402783,Ernesto Julio Arreola Caraballo,7A,Profe Ana
